[2026-02-10 08:08:30] [INVALID_FILE_UPLOAD] IP: ::1 | Event: INVALID_FILE_UPLOAD | Details: foto_siswa: File size exceeds maximum allowed (2MB)
[2026-02-10 08:08:30] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 32ff864705d2b96da65d58ae7a430854_1770685710.pdf
[2026-02-10 08:08:30] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 84754fe3246c68782e685aaf72488555_1770685710.pdf
[2026-02-10 08:08:30] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: b1231ffffaff9b858c902784fc632d69_1770685710.pdf
[2026-02-10 08:08:30] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: d1afa15d41113553f80ef5f21e981cf9_1770685710.pdf
[2026-02-10 08:23:28] [INVALID_FILE_UPLOAD] IP: ::1 | Event: INVALID_FILE_UPLOAD | Details: foto_siswa: File size exceeds maximum allowed (2MB)
[2026-02-10 08:23:28] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: b553cfff1b7c2ef055247761a1c0c419_1770686608.pdf
[2026-02-10 08:23:28] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_surat_tahfidz: 364efd188e4887b0d24c4f2c9b342e77_1770686608.pdf
[2026-02-10 08:23:28] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_tahfidz: 7d4ef52fa4d477dcb03f6101e41531ba_1770686608.pdf
[2026-02-10 08:23:28] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 60269c4eb2c0e65dbfa694302b0024c1_1770686608.pdf
[2026-02-10 08:23:28] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: ce93ad7391b9949e41e84647ab4072a1_1770686608.pdf
