[2026-02-13 17:15:06] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: PDF Preview: preview_5_1770977706.pdf
[2026-02-13 17:15:13] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: DOCX Template: template_5_1770977713.docx
[2026-02-13 17:15:21] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: DOCX Template: template_5_1770977721.docx
[2026-02-13 20:35:51] [INVALID_FILE_UPLOAD] IP: ::1 | Event: INVALID_FILE_UPLOAD | Details: foto_siswa: File size exceeds maximum allowed (2MB)
[2026-02-13 20:35:51] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: e2ae5a5cbe633d2621e1527b244746c6_1770989751.pdf
[2026-02-13 20:35:51] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 67a8700b5861fe09a424c29d1b46b3ce_1770989751.pdf
[2026-02-13 20:35:51] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: f7946f51a231599d87e27418be445e0b_1770989751.pdf
[2026-02-13 20:35:51] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 1fa75a19df40982b2c0ea6465ca85586_1770989751.pdf
[2026-02-13 20:39:08] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: c8fef7b7ae027ae28f7b38a849e71b52_1770989948.png
[2026-02-13 20:39:08] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 091939d16d0cc6a142ea38ef12b409a7_1770989948.pdf
[2026-02-13 20:39:08] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_surat_tahfidz: 3c4f3f35d659f19e4201784ca5599c24_1770989948.pdf
[2026-02-13 20:39:08] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_tahfidz: f93d70a97a6398ec019bb24b0edf4f1c_1770989948.pdf
[2026-02-13 20:39:08] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 975f0fe5e5273f2fb20cdc98b4661ee7_1770989948.pdf
[2026-02-13 20:39:08] [FILE_UPLOAD_SUCCESS] IP: ::1 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 73c59247120995f814acd812f460de8a_1770989948.pdf
