[2026-03-04 00:58:40] [FILE_UPLOAD_SUCCESS] IP: 182.1.5.73 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 4c14e961b8b1e238329a911688a1b7af_1772560720.jpg
[2026-03-04 00:58:40] [FILE_UPLOAD_SUCCESS] IP: 182.1.5.73 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 1a7ccd22b375dc6885a7cbabaea72ad5_1772560720.pdf
[2026-03-04 00:58:40] [FILE_UPLOAD_SUCCESS] IP: 182.1.5.73 | Event: FILE_UPLOAD_SUCCESS | Details: file_surat_prestasi: 6de120284753dc31363996a2e028bd64_1772560720.pdf
[2026-03-04 00:58:40] [FILE_UPLOAD_SUCCESS] IP: 182.1.5.73 | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_prestasi: 23e85c13bb31c759ea9393c5d8e1634f_1772560720.pdf
[2026-03-04 00:58:40] [FILE_UPLOAD_SUCCESS] IP: 182.1.5.73 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: ba670879d061e6d95c31c078c79a68a5_1772560720.pdf
[2026-03-04 00:58:40] [FILE_UPLOAD_SUCCESS] IP: 182.1.5.73 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 6adc28ffae1b11bb6244cd200b00327b_1772560720.pdf
[2026-03-04 01:09:15] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::1721:b7e8 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 765e091e32ea1996cf6bbae3aad288e0_1772561355.jpg
[2026-03-04 01:09:15] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::1721:b7e8 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 278c4870d1273eaa39644cbae9488015_1772561355.pdf
[2026-03-04 01:09:15] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::1721:b7e8 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 668e0e3c096d86e617422c99541aaf88_1772561355.pdf
[2026-03-04 01:09:15] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::1721:b7e8 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: a6a6c1a96cddaa0e3f1824cfa6037a2d_1772561355.pdf
[2026-03-04 01:09:15] [FILE_UPLOAD_SUCCESS] IP: 2404:c0:1050::1721:b7e8 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 81b55edfd575b72ce21d33a79ae252a2_1772561355.pdf
[2026-03-04 01:34:08] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:946:dd88:9ab9:10a0:a46b | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 23e5700d6d3772fbd2ea1c202243591e_1772562848.jpeg
[2026-03-04 01:34:08] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:946:dd88:9ab9:10a0:a46b | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 739b8979d83847a89daa35c0c7416fc5_1772562848.pdf
[2026-03-04 01:34:08] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:946:dd88:9ab9:10a0:a46b | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 77dd67d1929d23626dab3b634d44cfb6_1772562848.pdf
[2026-03-04 01:34:08] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:946:dd88:9ab9:10a0:a46b | Event: FILE_UPLOAD_SUCCESS | Details: file_sertifikat_prestasi: b5db7d94a71e4814a3aeb54aa609e484_1772562848.pdf
[2026-03-04 01:34:08] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:946:dd88:9ab9:10a0:a46b | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 28aa77973ade0ef3d35067e192a9d313_1772562848.pdf
[2026-03-04 01:34:08] [FILE_UPLOAD_SUCCESS] IP: 2404:8000:1070:946:dd88:9ab9:10a0:a46b | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: ada6937310ee8c280cc2c86f1e385267_1772562848.pdf
[2026-03-04 05:29:51] [FILE_UPLOAD_SUCCESS] IP: 36.70.144.209 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: e33affa5088b43c1d25085aef8a2fd83_1772576991.jpeg
[2026-03-04 05:29:51] [FILE_UPLOAD_SUCCESS] IP: 36.70.144.209 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: fc7cadde5f33a3ecc36d236f88691a63_1772576991.pdf
[2026-03-04 05:29:51] [FILE_UPLOAD_SUCCESS] IP: 36.70.144.209 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 12cf316f3da467864ae995b0c4a82485_1772576991.pdf
[2026-03-04 05:29:51] [FILE_UPLOAD_SUCCESS] IP: 36.70.144.209 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 4fd649afb94ed33406ab5903d0870e7b_1772576991.pdf
[2026-03-04 05:29:51] [FILE_UPLOAD_SUCCESS] IP: 36.70.144.209 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: c93747d75f53198a1168a8b3e1743e84_1772576991.pdf
[2026-03-04 06:09:09] [FILE_UPLOAD_SUCCESS] IP: 125.165.108.37 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 7ea54599766f690b7bc12c3f7dc7a04c_1772579349.jpg
[2026-03-04 06:09:09] [FILE_UPLOAD_SUCCESS] IP: 125.165.108.37 | Event: FILE_UPLOAD_SUCCESS | Details: file_nilai_rata: 21be2d969cfa63bd4db46e9c46237ed4_1772579349.pdf
[2026-03-04 06:09:09] [FILE_UPLOAD_SUCCESS] IP: 125.165.108.37 | Event: FILE_UPLOAD_SUCCESS | Details: file_ranking: 7e768619ea2cd3ce9efc4df2d768e304_1772579349.pdf
[2026-03-04 06:09:09] [FILE_UPLOAD_SUCCESS] IP: 125.165.108.37 | Event: FILE_UPLOAD_SUCCESS | Details: file_akta: 599b10143bb4cabfb89ea0e1c7af8ea7_1772579349.pdf
[2026-03-04 06:09:09] [FILE_UPLOAD_SUCCESS] IP: 125.165.108.37 | Event: FILE_UPLOAD_SUCCESS | Details: file_nisn: 12557d5592507c39416aef0bcdb43d52_1772579349.pdf
[2026-03-04 06:11:07] [FILE_UPLOAD_SUCCESS] IP: 182.4.71.107 | Event: FILE_UPLOAD_SUCCESS | Details: foto_siswa: 39ceb346bf17f2de458d22c39fd5a7d4_1772579467.jpg
[2026-03-04 06:11:07] [INVALID_FILE_UPLOAD] IP: 182.4.71.107 | Event: INVALID_FILE_UPLOAD | Details: file_nilai_rata: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
[2026-03-04 06:11:07] [INVALID_FILE_UPLOAD] IP: 182.4.71.107 | Event: INVALID_FILE_UPLOAD | Details: file_ranking: Invalid file type. Allowed: application/pdf (Type: image/jpeg)
